R1,R2,QT,CT,GT,STDT,SEGT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
556,467,2568825743,2988679564,39274,4349273,40401732,553355856,22,19,4,19,92933,17784
707,468,2563887144,355809790,15254,994845,3974057,712549536,7,11,12,11,46062,7947
646,496,2739679434,1306445304,99325,2998390,57384757,638589232,35,40,7,40,166685,13954
616,497,2657538682,1237258833,116402,2749416,59540886,465979784,37,46,8,46,187423,12413
676,497,2795107612,1388594946,83772,3639798,80221032,333582344,28,39,5,40,168190,18187
707,498,2598792821,628262807,30838,1828073,21231196,607910056,8,27,14,28,88646,15394
823,550,2264653270,318651463,21595,1903413,3488712,753139432,17,3,4,1,76273,9160
617,556,2786559369,1523571198,207053,1817477,50741011,529208080,73,45,1,45,264661,6937
766,556,2610601629,1398470824,42432,3330723,49892099,334941640,16,26,21,23,141977,20446
797,557,2861342154,1347850695,38479,2808242,43014217,914260592,17,23,23,21,134997,21803
823,579,2155990725,286840764,19171,1622483,3215892,1067612192,17,3,4,1,76872,8718
823,580,2167879874,339568221,19916,1979635,5104640,345923096,17,4,5,2,78002,9470
796,586,2881693303,1740325359,49049,2990130,45080136,1061602312,23,26,28,27,154475,20259
736,592,2718208035,6010952595,65911,7221062,122544905,917670776,34,24,42,32,120651,36487
736,593,2654096347,6058984100,66411,7237358,122245554,799261688,34,24,42,32,120651,36487
823,609,2324993638,349241878,19126,1618442,4807957,939597248,17,3,4,1,77442,8279
737,616,2781182282,2310507410,62517,3753625,65884377,1119820040,26,29,18,32,175857,20650
706,617,2954604365,6562682465,177172,5885497,191109480,1111374472,55,53,34,54,266540,28009
736,621,2769896285,5969017703,68602,7157830,170788024,161538592,37,22,40,27,121406,32697
736,622,2695086518,5954746274,69687,7419782,128269069,683598536,37,22,40,27,121406,32697
823,638,2292507015,292610377,17780,1473667,3195247,825858320,17,3,4,1,77442,7875
823,639,2343633558,295438528,17358,1531678,3171343,968117488,17,3,4,1,77442,8027
676,647,2880523740,416034507,48733,967904,10902877,285094544,30,10,4,7,146462,4934
766,647,2601144816,1070301409,18966,1784065,16181934,783044064,9,14,7,15,88126,13653
736,649,2783410536,3723551982,87627,3813397,85322296,447293184,45,24,22,26,130352,18990
679,650,2427874118,147984916,15957,34554,87139,536526336,7,4,0,4,167824,146
736,650,2654687730,3584326940,88934,4140389,116281538,1026288456,45,24,22,26,130352,18990
736,651,2712206347,4646384882,71928,5938515,113267610,1140528256,38,23,38,27,122860,28857
823,668,2213469204,289169021,18872,1470563,3160439,1283522624,17,3,4,1,79320,7488
707,677,3043016976,1164553253,211448,1236486,33425576,858312144,55,58,5,58,307570,5721
826,677,2806386475,7970867318,169104,8050536,194462733,1371957616,43,65,80,73,215406,37580
736,678,2978159981,4684909097,228576,4087609,140930524,1514301432,46,81,35,85,290984,19733
680,679,2662185523,13735619202,87861,11302599,45642619,1043064000,51,14,23,13,153471,37665
736,679,2845625682,3556744240,83528,4163500,102013708,768428368,45,23,30,25,127963,21324
823,697,2312291268,250421153,13526,1027510,2326895,895026016,17,3,4,2,79833,6930
823,698,2310938272,280229011,18904,1400762,3078793,1039732056,17,3,4,2,79833,6930
823,756,2198736272,354009727,24071,1519543,8436049,509168136,22,4,6,2,89246,6648
823,757,2251400411,378870132,22784,1341871,8282402,671948280,22,4,6,2,89246,6648
823,760,2190265970,393722213,42283,1465414,8877104,852819800,27,4,6,4,98298,4383
823,761,2226043945,370206883,28882,950063,7552541,1033684640,27,4,6,4,98298,4383
823,762,2308338908,373719749,29423,941236,7439684,1214543928,27,4,6,4,98298,4383
823,789,2193428560,351379662,24326,1238013,6664597,471572560,24,2,4,2,90107,5289
252,251,2119568001,196572109,10259,1070874,1062806,525059432,2,2,2,1,29910,4621
312,251,2315325979,105382302,9783,314473,155479,578536664,8,2,2,0,29675,1595
282,252,2319763098,251787519,37349,550069,3702452,649836216,19,19,4,18,63814,2944
375,282,2039264106,57322873,8351,258094,361560,685492360,4,3,6,3,27187,1912
347,283,2068507203,320209666,14714,1050128,1352448,828108424,13,4,5,4,23136,6018
376,283,2245266397,175350698,8448,757500,2104008,917230328,5,4,4,6,35493,4649
377,283,2206539162,171403927,6356,531613,1421388,1006354232,5,4,4,6,35493,4649
343,312,2179399886,435965969,30347,856712,2976171,1291574776,20,11,17,15,80998,4285
638,312,2177834507,388181413,24848,1293815,1659419,538951704,18,9,10,5,73361,8050
668,312,2222161999,345663635,23971,1342007,1333178,699372648,18,9,10,5,74198,8671
697,312,2168149645,443941737,34925,2252157,1991079,859796056,18,9,10,5,72428,9302
698,312,2259627061,385866944,23095,1353205,1386562,1038051840,18,9,10,5,72428,9302
727,312,2198429233,335580711,22549,1363343,1465687,1198480240,17,9,10,5,71531,9445
759,312,2157955748,237178841,15393,1091187,1542543,1305438768,9,9,15,10,63559,8477
347,314,2046152589,325692613,21501,681941,1160048,537520912,22,3,3,3,30650,3151
760,342,2249830666,586119669,31145,2766005,6118202,766801464,28,4,4,2,81306,14971
761,342,2289460039,587540549,30899,2641482,6073312,1013712696,28,4,4,2,81306,14971
707,377,2602254711,627066350,17186,1535610,6635828,1242991872,5,14,13,15,47556,12790
556,378,2531838406,790695781,24215,1684011,14180678,723393496,25,8,1,8,89650,10636
586,378,2583172318,900452564,32526,2469017,26720256,1149650008,24,10,2,10,91108,13865
707,378,2528631657,547069971,16872,1901622,6685573,538124128,5,14,13,15,47556,12790
760,401,2395319488,884415770,65148,3685538,1739820,851516072,36,5,7,3,88254,15897
761,401,2265619880,800198196,42540,3028486,1749979,1164931432,36,5,7,3,88254,15897
706,408,2726065147,1098418925,25112,2897698,17549950,755811344,13,15,15,15,71006,15838
707,408,2510037023,438273445,17864,1452147,6221077,947326128,6,13,13,14,48787,11263
