R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
281,756,2024536146,711618,152683264,2,3,5,3,6152,2855
282,498,2262485628,2431486,158134416,3,4,8,4,9719,5603
282,527,2280260339,1832000,163585584,2,4,6,5,8356,4671
282,766,2241275307,5798624,171762304,3,4,4,6,11952,9478
283,315,2193071695,950945,62213248,35,4,4,4,25180,3372
283,498,2113511964,2191216,67782936,3,4,8,4,9719,5228
284,498,2153912969,2082578,73338776,3,4,8,4,9719,5061
312,436,2199237570,3767440,87244760,16,4,8,4,16344,8125
312,467,2179466641,1801667,92804680,2,4,6,6,5566,4229
314,315,2253742596,58050,126207384,46,4,0,4,33820,100
314,431,2118695276,971691,134541200,3,3,2,3,8211,2764
314,460,2109301068,1222300,142907712,3,3,2,3,8211,2879
314,461,2137812098,954094,151241616,3,3,2,3,8211,2878
314,490,2157190860,1008766,159594328,3,3,2,3,8211,2956
314,498,2141951269,1648044,165158648,3,4,4,4,9719,4570
342,431,2446421303,6504604,84487152,61,4,4,3,60419,4703
342,467,2284198001,1426901,90044480,2,4,6,6,5566,3707
342,757,2407509040,21413675,140057784,42,5,3,4,51640,16677
343,467,2135753407,1498808,148399144,2,4,6,6,5566,3465
344,467,2079743969,1343973,156748408,2,4,6,6,5566,3393
372,520,2286768182,1650020,70010200,51,4,4,4,52766,5900
372,758,2255089188,6485167,115144280,38,4,23,19,44390,15999
372,759,2210068345,7370762,160270072,36,4,23,19,42411,16737
372,760,2207490044,7873219,202565920,33,4,23,19,41442,17665
372,761,2282582353,7864833,103126296,33,4,23,19,41442,17945
372,762,2280787418,8709311,145428184,33,4,23,19,41442,19156
372,789,2277369642,9389637,190545088,35,7,26,19,44390,17806
372,790,2258813617,7498481,96989880,35,4,23,19,42761,17644
372,792,2304693883,9044765,139762608,33,4,23,19,41442,19586
374,375,2168730119,45737,165439720,33,4,0,4,23915,74
374,467,2048076099,1485097,173993592,2,4,4,6,5566,2686
374,496,2100447189,1842648,185402032,10,4,2,4,15421,3989
378,706,2177983894,3758470,76787400,7,4,8,4,23867,12895
401,520,2324678232,1469879,133824032,53,4,4,4,55094,4253
402,520,2308816870,1581826,188028232,51,4,4,4,52766,4932
402,758,2298085208,6638043,96553352,38,4,23,19,44390,15279
402,759,2281375799,7273738,142384488,36,4,23,19,42411,16051
402,760,2224198450,7457417,188179192,33,4,23,19,41442,17030
402,761,2280261344,7676161,94472544,33,4,23,19,41442,17310
402,762,2328057177,8515984,137406784,33,4,23,19,41442,18521
402,789,2237921249,9233877,186065744,35,7,26,19,44390,17086
402,790,2357611853,11053198,94774824,35,4,23,19,42761,16977
402,792,2372763014,9282009,137730232,33,4,23,19,41442,18951
405,467,2120142183,964267,146316872,2,4,4,4,5566,1531
431,520,2306911375,1333327,206435064,55,4,4,4,55488,2898
431,758,2339558203,6027995,99598552,39,4,23,19,44714,13897
431,759,2273601004,7381855,145415928,36,4,23,19,42411,14463
431,789,2300528188,9208331,196946784,35,7,26,19,44390,15412
431,790,2317525493,7200507,98298912,35,4,23,19,42761,15428
435,467,2002049314,1120352,101234288,2,4,4,4,5566,1392
436,437,2089055178,26962,112933680,2,4,0,4,2994,12
436,467,2217544943,1009660,124633056,5,4,0,4,6882,1082
436,496,2102837837,1050094,136332464,17,4,1,4,16395,1439
437,496,2353512351,4901819,174388848,38,4,4,4,69375,5744
438,468,2374388314,41792,72422784,21,4,0,4,30850,50
