R1,R2,QT,PT,MEM,STD,NSTD,STDSEG,NOTSTDSEG,PTQTDALL,PTQTDEPR
202,235,1963191067,3747399,60572472,20,27,32,28,17491,1701
205,419,2127791590,1779817,70133152,18,19,21,21,17190,3689
234,326,2043853653,2555346,56487848,41,16,15,15,20894,2116
235,386,2099834089,1800771,70848472,54,4,4,4,27915,3453
326,504,1977052767,2082333,55445792,43,5,11,7,17983,4509
326,531,1968768086,2081456,63413112,36,5,9,6,15562,5574
381,471,1951854140,6547649,68989872,36,34,2,34,9660,2508
386,530,2003247925,4518869,57892608,25,16,35,27,12540,5149
404,436,1972360073,3036327,67462176,96,10,15,13,21857,2867
416,530,1989529347,4759570,53815608,25,17,35,28,12760,4836
437,469,1982830505,6215602,60985152,53,31,21,32,12461,2753
439,499,1973554876,9438178,67762272,69,35,5,35,11972,1864
468,534,1991670613,7532452,71337720,18,26,35,29,8429,4227
489,521,2095281660,1747561,61161504,101,2,3,2,22200,3247
499,535,2149970303,7489397,65546008,24,28,37,22,10666,4643
501,533,2109276534,1961896,57677480,11,35,23,38,6457,1753
501,593,2066094834,17137205,65659608,70,31,17,31,13144,4945
502,534,1996621381,1997843,54039728,11,37,20,37,5190,1586
505,559,2033753876,5633419,60422816,21,19,28,20,9396,3319
505,626,2001676090,8855294,64808480,32,22,19,22,11367,3912
506,533,1968547231,3936352,67600208,10,37,32,48,5284,2188
530,564,2114516605,4417421,71190856,27,21,25,23,6810,2964
534,594,2051697947,3821267,54627232,25,31,28,31,6468,1932
558,592,1992604936,8358884,61801448,46,29,34,27,12307,4043
559,592,2003907170,8696051,70173296,60,26,27,26,13232,3500
560,622,2121704838,5690560,54705152,24,33,16,32,7890,2818
560,624,2106521167,29286435,62288072,59,41,34,46,14113,6365
564,592,2080161889,8666203,57718952,60,34,5,33,11760,2521
565,597,2052371201,12506661,63744288,207,18,3,17,44040,4813
590,594,2020112273,4772362,68132224,20,38,38,42,8784,3380
591,624,2052955629,3744328,71719584,19,31,28,31,6417,2204
596,656,2129378895,11329609,59831512,62,35,19,33,14233,2814
612,644,2021782969,6753288,69796264,69,28,27,23,20223,2903
